[Wed Apr 05 12:22:58.363253 2017] [:error] [pid 2398] [client 127.0.0.1:45956] PHP  21. Illuminate\\Routing\\Router->runRouteWithinStack() /home/serg/site/open_service/vendor/laravel/framework/src/Illuminate/Routing/Router.php:520, referer: http://openit.tes/admin/events
[Wed Apr 05 12:22:58.363260 2017] [:error] [pid 2398] [client 127.0.0.1:45956] PHP  22. Illuminate\\Pipeline\\Pipeline->then() /home/serg/site/open_service/vendor/laravel/framework/src/Illuminate/Routing/Router.php:561, referer: http://openit.tes/admin/events
[Wed Apr 05 12:22:58.363267 2017] [:error] [pid 2398] [client 127.0.0.1:45956] PHP  23. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /home/serg/site/open_service/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:102, referer: http://openit.tes/admin/events
[Wed Apr 05 12:22:58.363272 2017] [:error] [pid 2398] [client 127.0.0.1:45956] PHP  24. Illuminate\\Pipeline\\Pipeline->Illuminate\\Pipeline\\{closure}() /home/serg/site/open_service/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://openit.tes/admin/events
[Wed Apr 05 12:22:58.363280 2017] [:error] [pid 2398] [client 127.0.0.1:45956] PHP  25. Illuminate\\Cookie\\Middleware\\EncryptCookies->handle() /home/serg/site/open_service/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:148, referer: http://openit.tes/admin/events
[Wed Apr 05 12:22:58.363286 2017] [:error] [pid 2398] [client 127.0.0.1:45956] PHP  26. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /home/serg/site/open_service/vendor/laravel/framework/src/Illuminate/Cookie/Middleware/EncryptCookies.php:59, referer: http://openit.tes/admin/events
[Wed Apr 05 12:22:58.363293 2017] [:error] [pid 2398] [client 127.0.0.1:45956] PHP  27. Illuminate\\Pipeline\\Pipeline->Illuminate\\Pipeline\\{closure}() /home/serg/site/open_service/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://openit.tes/admin/events
[Wed Apr 05 12:22:58.363298 2017] [:error] [pid 2398] [client 127.0.0.1:45956] PHP  28. Illuminate\\Cookie\\Middleware\\AddQueuedCookiesToResponse->handle() /home/serg/site/open_service/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:148, referer: http://openit.tes/admin/events
[Wed Apr 05 12:22:58.363311 2017] [:error] [pid 2398] [client 127.0.0.1:45956] PHP  29. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /home/serg/site/open_service/vendor/laravel/framework/src/Illuminate/Cookie/Middleware/AddQueuedCookiesToResponse.php:37, referer: http://openit.tes/admin/events
[Wed Apr 05 12:22:58.363318 2017] [:error] [pid 2398] [client 127.0.0.1:45956] PHP  30. Illuminate\\Pipeline\\Pipeline->Illuminate\\Pipeline\\{closure}() /home/serg/site/open_service/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://openit.tes/admin/events
[Wed Apr 05 12:22:58.363325 2017] [:error] [pid 2398] [client 127.0.0.1:45956] PHP  31. Illuminate\\Session\\Middleware\\StartSession->handle() /home/serg/site/open_service/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:148, referer: http://openit.tes/admin/events
[Wed Apr 05 12:22:58.363332 2017] [:error] [pid 2398] [client 127.0.0.1:45956] PHP  32. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /home/serg/site/open_service/vendor/laravel/framework/src/Illuminate/Session/Middleware/StartSession.php:64, referer: http://openit.tes/admin/events
[Wed Apr 05 12:22:58.363338 2017] [:error] [pid 2398] [client 127.0.0.1:45956] PHP  33. Illuminate\\Pipeline\\Pipeline->Illuminate\\Pipeline\\{closure}() /home/serg/site/open_service/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://openit.tes/admin/events
[Wed Apr 05 12:22:58.363345 2017] [:error] [pid 2398] [client 127.0.0.1:45956] PHP  34. Illuminate\\View\\Middleware\\ShareErrorsFromSession->handle() /home/serg/site/open_service/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:148, referer: http://openit.tes/admin/events
[Wed Apr 05 12:22:58.363352 2017] [:error] [pid 2398] [client 127.0.0.1:45956] PHP  35. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /home/serg/site/open_service/vendor/laravel/framework/src/Illuminate/View/Middleware/ShareErrorsFromSession.php:49, referer: http://openit.tes/admin/events
[Wed Apr 05 12:22:58.363359 2017] [:error] [pid 2398] [client 127.0.0.1:45956] PHP  36. Illuminate\\Pipeline\\Pipeline->Illuminate\\Pipeline\\{closure}() /home/serg/site/open_service/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://openit.tes/admin/events
[Wed Apr 05 12:22:58.363366 2017] [:error] [pid 2398] [client 127.0.0.1:45956] PHP  37. Illuminate\\Foundation\\Http\\Middleware\\VerifyCsrfToken->handle() /home/serg/site/open_service/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:148, referer: http://openit.tes/admin/events
[Wed Apr 05 12:22:58.363372 2017] [:error] [pid 2398] [client 127.0.0.1:45956] PHP  38. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /home/serg/site/open_service/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/VerifyCsrfToken.php:65, referer: http://openit.tes/admin/events
[Wed Apr 05 12:22:58.363378 2017] [:error] [pid 2398] [client 127.0.0.1:45956] PHP  39. Illuminate\\Pipeline\\Pipeline->Illuminate\\Pipeline\\{closure}() /home/serg/site/open_service/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://openit.tes/admin/events
[Wed Apr 05 12:22:58.363385 2017] [:error] [pid 2398] [client 127.0.0.1:45956] PHP  40. Illuminate\\Auth\\Middleware\\Authenticate->handle() /home/serg/site/open_service/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:148, referer: http://openit.tes/admin/events
[Wed Apr 05 12:22:58.363391 2017] [:error] [pid 2398] [client 127.0.0.1:45956] PHP  41. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /home/serg/site/open_service/vendor/laravel/framework/src/Illuminate/Auth/Middleware/Authenticate.php:43, referer: http://openit.tes/admin/events
[Wed Apr 05 12:22:58.363401 2017] [:error] [pid 2398] [client 127.0.0.1:45956] PHP  42. Illuminate\\Pipeline\\Pipeline->Illuminate\\Pipeline\\{closure}() /home/serg/site/open_service/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://openit.tes/admin/events
[Wed Apr 05 12:22:58.363411 2017] [:error] [pid 2398] [client 127.0.0.1:45956] PHP  43. Illuminate\\Routing\\Middleware\\SubstituteBindings->handle() /home/serg/site/open_service/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:148, referer: http://openit.tes/admin/events
[Wed Apr 05 12:22:58.363417 2017] [:error] [pid 2398] [client 127.0.0.1:45956] PHP  44. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /home/serg/site/open_service/vendor/laravel/framework/src/Illuminate/Routing/Middleware/SubstituteBindings.php:41, referer: http://openit.tes/admin/events
